lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
11.4,306.5,45,60,1006,5,324,12,275,278,9999,47,636,72,28,-18,0
11.6,305.3,44,72,1003,5,350,15,270,280,9999,47,617,71,9,-13,0
11.8,304.2,50,62,1002,4,323,13,279,280,9999,46,558,76,5,15,0
12.1,302.9,52,139,1002,4,268,11,290,282,9999,47,449,82,14,5,0
12.5,301.7,50,25,1002,6,243,9,283,282,9999,48,349,90,12,10,0
13.3,299.8,42,57,1006,3,8,13,293,284,9999,48,291,79,5,28,0
15,298.1,45,76,1005,3,320,14,296,286,9999,49,476,81,0,-1,0
15.8,297.3,38,36,1005,7,2,13,288,287,9999,49,419,60,7,10,0
16.4,296.6,50,154,1004,7,31,12,310,286,9999,48,319,66,-8,26,0
17.1,296,52,90,1002,6,76,14,314,286,9999,49,224,75,0,16,0
19.2,294.3,68,115,989,11,41,11,324,288,9999,51,84,96,-13,5,0
20,293.6,84,36,990,12,47,13,339,288,9999,51,167,98,-36,7,0
21,293.1,81,84,988,8,48,12,327,288,9999,51,278,94,-47,47,0
22.1,292.6,102,79,987,7,25,11,328,289,9999,52,363,102,-33,22,0
22.8,292,77,71,978,12,21,10,321,291,9999,51,397,94,-32,33,1
23.5,291.2,101,124,977,12,51,10,326,291,9999,50,437,121,-40,24,1
24.2,290.6,93,151,969,6,42,9,313,288,9999,50,503,126,-39,15,1
24.8,289.7,105,103,966,5,55,8,308,286,9999,50,560,130,-35,37,1
25.3,289,120,15,950,9,90,10,294,283,9999,50,611,127,-34,26,0
26.2,285.3,141,110,939,10,121,9,276,287,9999,53,544,167,10,-2,1
26.4,284.4,137,63,927,12,119,8,293,288,9999,53,452,170,-7,6,0
26.5,283.5,147,77,921,10,133,5,281,289,9999,53,362,214,-4,3,0
26.5,282.9,158,56,901,6,138,5,281,285,9999,54,303,220,24,53,0
26.6,282.3,162,146,906,8,138,4,286,287,9999,55,242,218,26,10,0
26.6,281.9,154,116,908,12,138,3,329,284,9999,55,202,220,15,4,0
26.7,281.8,155,141,916,16,150,3,318,269,9999,55,191,213,22,38,0
26.8,281.6,132,53,933,10,147,2,24,266,9999,58,170,214,34,62,0
26.8,281.6,134,152,942,10,118,1,360,254,9999,58,170,230,36,13,0
26.9,281.6,109,124,944,14,101,3,343,239,9999,58,169,225,34,-5,0
27.1,281.6,105,120,952,17,109,4,336,235,9999,57,169,216,19,15,0
28.1,281.2,95,86,954,10,54,10,327,277,9999,57,162,236,33,41,0
28.8,280.8,100,114,961,11,43,10,339,282,9999,57,141,250,11,23,0
29.5,280.4,91,45,960,9,1,8,342,285,9999,55,143,239,-18,40,0
31,280.3,98,45,955,25,344,4,348,287,9999,53,158,239,9,42,0
31.4,280.4,96,80,952,20,343,8,360,285,9999,50,144,253,-7,52,0
32.1,280.8,105,69,956,16,359,9,23,280,9999,49,101,261,25,63,0
33.4,282.1,94,91,953,14,21,10,36,274,9999,50,66,254,41,6,0
11.4,333.8,50,81,1002,5,96,9,270,279,9999,59,1015,131,54,116,0
11.8,332.7,56,18,999,6,84,13,283,275,9999,58,1111,154,54,147,0
13,328.3,65,60,993,12,102,15,278,269,9999,59,1545,186,79,91,1
20.9,315.6,100,129,951,15,93,9,6,269,9999,57,1972,259,48,50,1
24.7,315.3,136,78,917,19,107,9,24,266,9999,57,2285,310,49,77,0
40.9,329,81,111,956,32,25,36,43,216,9999,42,1825,299,97,134,0
15.2,308.8,53,134,997,5,113,12,295,283,9999,51,1099,100,40,1,1
15.7,307.4,59,74,995,8,115,11,291,284,9999,51,1059,99,34,-38,1
16.4,306.1,57,137,997,12,124,11,291,283,9999,51,988,86,23,-16,0
18.5,300.4,81,115,989,19,152,13,292,293,9999,50,644,112,19,7,0
23.7,294,52,32,1002,18,136,12,321,286,9999,59,578,82,-18,30,0
24.5,293.4,53,96,1001,18,127,13,336,283,9999,59,632,96,-7,47,0
27.5,292.4,55,81,994,41,97,5,310,279,9999,55,898,117,-18,66,0
28.7,291.7,54,124,992,30,70,9,344,269,9999,53,1013,141,6,48,0
29.6,291.6,51,84,993,18,65,10,345,264,9999,51,953,141,5,30,0
31.3,291.2,35,101,998,11,117,3,40,253,9999,47,803,116,60,18,0
14.6,332.7,35,81,1003,4,253,17,287,260,9999,61,1054,131,108,30,0
15.8,330.5,49,114,1000,4,53,16,281,257,9999,60,1291,136,123,13,0
16.3,329.3,53,92,999,3,61,15,289,254,9999,58,1423,148,129,36,0
16.6,327.6,61,64,999,7,75,15,298,257,9999,58,1606,146,132,33,0
17.9,323.4,52,103,999,13,70,14,283,257,9999,56,2065,147,119,7,0
18.3,322,59,89,997,11,57,16,285,259,9999,53,2146,142,107,13,0
19.1,318.5,59,95,995,19,54,9,295,259,9999,53,1975,135,74,-4,1
19.4,318.2,67,96,990,18,68,13,323,259,9999,52,1981,139,62,12,1
20.4,316.6,87,80,973,20,56,11,310,261,9999,52,1976,163,52,3,1
21.1,315.7,89,47,976,25,75,13,298,263,9999,51,1997,146,33,12,0
21.7,314.8,105,46,956,23,63,12,311,265,9999,51,2014,158,21,5,0
23.1,313.1,115,83,951,23,55,12,307,267,9999,50,2026,155,-14,41,0
23.8,312.4,99,83,958,26,58,11,318,266,9999,48,1974,142,-36,6,0
24.4,311.8,92,68,971,28,53,11,318,268,9999,46,1934,149,-47,52,0
25,310.5,60,35,992,25,56,7,288,270,9999,44,1831,99,-36,4,0
25.1,309.6,55,28,996,28,59,10,270,272,9999,45,1751,103,-47,-9,0
25,308.6,58,42,997,25,72,10,253,274,9999,44,1654,98,-35,-3,0
24.8,307.2,53,50,999,24,64,8,248,275,9999,47,1516,115,-25,-32,0
24.6,306.2,60,30,997,20,64,5,237,276,9999,46,1416,131,-24,-59,0
24.6,305.9,56,38,996,16,76,6,270,274,9999,46,1389,127,-18,-27,0
24.6,305.1,61,64,988,8,53,5,270,273,9999,49,1318,139,-6,-57,0
24.5,304.5,58,24,989,9,75,5,270,275,9999,49,1260,132,-8,-24,1
24.5,302.7,84,94,971,9,41,9,296,275,9999,51,1109,167,-2,12,1
24.8,301.6,85,98,970,11,28,11,285,278,9999,52,1044,160,7,-22,1
24.9,300.5,104,70,962,4,2,11,285,281,9999,52,974,169,26,-7,0
25.2,299.4,127,140,935,9,293,11,285,282,9999,53,930,199,23,-8,0
25.6,298.3,123,88,934,6,281,15,286,283,9999,53,905,205,21,-7,0
26.1,296.7,119,91,944,4,266,14,292,288,9999,53,889,187,10,49,0
26.4,295.4,114,75,950,9,262,17,295,285,9999,54,890,194,9,14,0
28,292.2,121,78,945,4,227,17,294,284,9999,53,947,196,-11,-57,0
28.6,290.5,117,88,944,6,336,15,306,286,9999,53,955,211,10,-1,0
29.4,289.3,116,117,943,9,349,15,317,281,9999,54,811,211,15,25,0
31.5,286.8,98,106,956,10,5,14,317,281,9999,54,478,209,5,25,0
32.5,285.7,97,69,955,11,3,11,310,278,9999,53,327,206,-16,-6,0
33.1,284.9,97,118,955,13,355,9,312,280,9999,53,229,224,-18,6,0
19,274.3,38,70,1004,18,109,12,4,290,9999,59,189,105,64,62,0
19.8,274.6,58,99,998,23,107,5,349,291,9999,58,198,128,64,33,0
20.2,274.6,68,133,983,22,113,7,15,294,9999,58,174,164,66,56,0
20.9,275,64,112,979,22,112,9,354,294,9999,57,102,175,74,88,0
22.7,274.8,78,89,970,23,102,11,328,290,9999,59,98,188,92,22,1
23.6,274.3,80,92,970,24,116,11,346,290,9999,58,196,190,80,4,1
24.6,273.9,89,113,968,18,116,9,343,282,9999,59,306,183,57,17,1
26.6,273.5,112,127,943,18,93,12,347,284,9999,59,361,207,48,21,1
27.8,273.4,115,100,939,16,109,11,9,287,9999,59,241,210,37,50,0
29,273.7,126,162,927,6,91,11,28,283,9999,58,117,227,54,77,0
31.5,275.5,79,170,950,13,29,15,38,255,9999,54,-157,228,14,72,0
32.8,276.7,44,111,980,17,52,19,50,261,9999,52,-233,180,11,56,0
34.1,278.3,46,39,991,19,40,20,47,260,9999,48,-210,166,32,50,0
36.6,282.6,40,146,989,24,35,23,62,249,9999,42,-129,124,20,71,0
37.5,285,55,119,986,32,33,32,68,245,9999,39,54,143,13,64,0
16.4,330.2,44,104,1006,3,288,9,270,278,9999,60,1328,108,70,39,1
16.3,329.2,49,92,1004,4,245,8,285,276,9999,59,1434,120,75,25,1
16.3,328.3,59,97,999,3,246,7,287,275,9999,59,1529,134,65,33,1
17.5,324.9,102,39,963,1,200,12,285,268,9999,58,1902,166,89,16,0
18,324,101,76,963,0,351,12,285,264,9999,57,2004,177,79,14,0
18.3,322.8,94,93,968,2,4,12,275,268,9999,57,2134,166,85,39,0
18.8,321.5,99,97,963,5,31,12,265,268,9999,56,2153,181,87,44,0
19.1,320.2,105,82,959,5,28,13,261,270,9999,56,2091,169,76,17,0
19.1,318.9,99,56,963,5,73,14,257,269,9999,55,2002,187,69,6,0
18.8,317.5,95,106,969,8,118,13,266,273,9999,55,1883,184,67,8,0
18.7,316,95,84,969,8,138,14,257,275,9999,53,1783,185,73,15,0
18.4,314.4,95,95,969,8,167,13,252,277,9999,52,1668,173,72,4,0
18.2,313.1,93,74,969,10,178,12,251,277,9999,53,1586,181,78,12,0
17.8,312.1,100,109,967,11,194,10,253,279,9999,52,1499,178,81,13,0
17.8,310.8,99,79,965,10,200,12,245,281,9999,52,1442,189,85,42,0
17.3,309.6,98,103,959,5,196,11,254,283,9999,52,1347,178,82,60,1
17,308.3,100,80,956,3,155,10,247,282,9999,52,1217,197,80,32,1
16.8,307.4,106,89,944,5,189,12,265,283,9999,53,1125,187,96,34,1
16.7,306.1,117,114,937,7,211,10,270,284,9999,52,1009,222,102,26,1
16.7,304.9,119,94,943,5,230,11,270,286,9999,54,914,205,100,14,0
16.6,303.6,130,75,939,6,165,12,275,287,9999,55,814,220,97,11,0
16.7,302.2,157,64,921,13,182,13,288,289,9999,54,741,249,101,24,0
16.9,300.8,163,71,918,7,194,13,294,288,9999,55,705,266,85,28,0
17.2,299.6,163,101,907,1,262,15,289,289,9999,56,574,259,85,16,0
17.7,298.1,165,125,905,7,73,12,294,291,9999,56,407,274,63,13,0
18.1,296.7,161,85,909,7,53,16,301,291,9999,56,254,267,60,38,0
18.5,295.3,166,130,909,3,25,15,298,292,9999,58,108,271,82,45,0
19.2,294,162,160,907,7,65,15,293,290,9999,57,78,262,67,14,0
19.7,292.3,157,134,912,9,53,11,296,289,9999,57,143,256,52,19,0
20.1,291,149,127,913,6,125,14,305,290,9999,57,91,254,73,45,0
20.7,289.6,157,95,913,6,88,14,296,292,9999,58,106,269,66,69,0
21.1,288.2,152,84,910,3,119,13,288,292,9999,56,145,258,60,34,0
21.5,286.8,142,94,917,5,124,12,290,293,9999,58,178,270,52,48,0
21.8,285.2,131,104,923,5,102,11,286,294,9999,56,121,260,59,36,0
22,284,138,94,917,5,104,10,270,291,9999,57,99,266,78,38,0
22.1,282.8,139,59,915,6,164,9,282,295,9999,56,49,270,86,49,0
22.3,281.7,141,41,922,8,121,9,290,294,9999,58,11,284,96,66,0
22.7,280.7,113,100,934,7,134,8,292,298,9999,57,30,266,91,97,0
23.1,279.8,111,77,931,3,122,6,299,298,9999,59,19,273,107,92,0
23.4,279.1,105,83,932,8,48,6,324,308,9999,59,44,261,118,118,0
23.7,278.7,114,88,930,18,61,8,353,303,9999,59,59,278,133,114,0
24.5,278.5,117,70,925,16,68,11,346,284,9999,58,78,292,119,102,0
25.6,278.3,112,110,933,26,58,11,355,281,9999,58,33,298,136,102,0
26.8,278.3,92,114,935,35,49,15,336,276,9999,58,-41,325,119,72,0
28.2,277.7,75,79,956,36,49,13,344,265,9999,57,-35,270,117,91,0
29.6,277.3,73,131,972,34,43,17,337,258,9999,53,-51,234,122,136,0
12.2,306.9,44,95,1004,1,127,14,295,291,9999,56,729,113,19,45,1
12.8,305.7,55,61,994,10,76,13,307,286,9999,56,745,119,3,60,0
13.2,304.2,54,96,993,6,70,13,297,287,9999,57,625,126,3,47,1
13.6,303,64,72,985,6,43,9,297,287,9999,57,534,137,23,49,1
14,302,79,65,979,9,56,12,299,289,9999,57,482,145,32,55,1
14.4,301,83,103,974,7,59,7,286,287,9999,57,455,159,22,47,1
14.5,300.3,101,75,963,1,171,7,305,288,9999,58,435,195,16,41,1
14.9,299.6,113,77,952,6,229,8,316,291,9999,59,460,206,32,105,1
15.3,298.9,143,128,916,7,275,9,312,296,9999,57,500,210,31,100,0
15.7,298.1,131,85,933,4,315,8,307,294,9999,57,496,195,15,99,0
16.1,297.3,142,109,923,3,306,8,316,294,9999,57,400,205,35,100,0
16.6,296.4,149,108,911,6,293,8,307,294,9999,57,289,220,44,85,0
17,295.7,150,48,909,5,328,8,301,291,9999,56,203,215,38,63,0
17.6,294.9,144,137,913,7,63,10,305,291,9999,56,95,212,48,43,0
18.2,293.9,138,126,928,3,56,9,298,278,9999,55,-22,208,62,25,0
18.6,293,96,44,954,3,330,7,305,285,9999,55,11,210,65,27,0
18.9,292.5,95,135,957,5,7,9,312,285,9999,54,55,195,64,35,0
19.4,291.9,101,89,958,7,53,6,310,285,9999,56,90,201,35,29,0
19.9,291.2,102,116,954,10,102,8,322,288,9999,56,79,207,49,25,0
20.5,290.5,105,114,955,11,83,5,309,291,9999,57,98,213,62,66,0
20.8,290,115,151,948,13,63,8,332,289,9999,56,121,226,64,116,0
21.2,289.6,112,83,954,19,65,8,338,286,9999,57,161,214,52,91,0
21.9,289.1,106,113,954,20,61,8,347,285,9999,56,234,225,31,90,0
22.8,288.8,111,104,954,21,55,9,343,286,9999,57,333,224,35,111,0
23.7,288.4,111,89,948,23,45,8,332,287,9999,56,433,246,41,115,0
24.4,288.1,104,84,950,20,42,9,343,285,9999,57,505,236,44,120,0
25,287.8,107,51,947,17,46,9,354,281,9999,56,557,243,26,110,0
25.8,287.6,101,124,946,15,47,9,354,279,9999,58,625,260,40,86,0
26.6,287.6,102,87,945,11,53,9,354,276,9999,57,702,256,47,50,0
27.5,287.5,100,114,942,11,98,10,350,275,9999,58,753,268,43,46,0
28.4,287.2,95,61,947,10,56,6,344,271,9999,57,735,253,59,44,0
29.1,287,90,66,937,7,3,5,360,262,9999,58,714,284,69,70,0
29.7,287.1,87,96,941,9,81,6,344,253,9999,55,660,274,71,65,0
30.3,287,75,97,950,17,109,6,352,250,9999,56,598,253,72,20,0
30.8,287,70,94,962,14,128,8,354,252,9999,55,552,247,74,2,0
31.4,286.9,70,120,962,13,116,6,360,255,9999,56,493,247,81,46,0
32,287,70,112,966,15,116,9,324,257,9999,56,450,233,78,26,0
32.6,286.9,64,90,969,17,132,7,360,256,9999,57,398,209,55,8,0
33.3,286.9,65,80,969,15,122,5,9,257,9999,56,347,218,43,32,0
34,287,57,87,974,17,126,4,12,256,9999,57,310,210,38,13,0
34.6,287.2,59,66,974,19,120,4,348,259,9999,56,302,228,37,23,0
34.9,287.1,58,169,977,21,120,5,351,260,9999,55,283,212,9,40,0
35.4,287.2,57,39,979,17,120,6,26,258,9999,53,281,208,15,32,0
36,287.6,64,62,976,20,129,6,26,252,9999,54,310,231,-5,19,0
